id,title,url,topic
K1eejivNkRQ,Separable verbs in German | Super Easy German (31),https://www.youtube.com/watch?v=K1eejivNkRQ,Other
fB12-T5jC30,These Verbs Always Use The Simple Past | Super Easy German 191,https://www.youtube.com/watch?v=fB12-T5jC30,Other
0q8ceeaEI68,Perfect Tense in German | Super Easy German (26),https://www.youtube.com/watch?v=0q8ceeaEI68,Other
4gl3-i0KXqY,10 German Verbs that Change Vowels (Strong Verbs for Beginners) | Super Easy German 220,https://www.youtube.com/watch?v=4gl3-i0KXqY,Other
kYEBu6dG2MM,A Day in our Office in slow German | Super Easy German 235,https://www.youtube.com/watch?v=kYEBu6dG2MM,Other
SzfIlzLFmn0,Wie vs. Als | Super Easy German (88),https://www.youtube.com/watch?v=SzfIlzLFmn0,Other
7GH7AFxA3gY,MIT vs. OHNE | Super Easy German 201,https://www.youtube.com/watch?v=7GH7AFxA3gY,Grammar → Prepositions
fa9K07uIrOo,German Prepositions: BEI | Super Easy German (39),https://www.youtube.com/watch?v=fa9K07uIrOo,Grammar → Prepositions
vC_7XBaqsc4,Kein vs. Nicht | Easy German 341,https://www.youtube.com/watch?v=vC_7XBaqsc4,Other
ZqCevnsyMAQ,Our Vacation in Slow German | Super Easy German 234,https://www.youtube.com/watch?v=ZqCevnsyMAQ,Other
hxGSArgzNN8,Sports | Super Easy German (3),https://www.youtube.com/watch?v=hxGSArgzNN8,Other
T-AtG9BvwHg,"""Ach"" Explained | Super Easy German (126)",https://www.youtube.com/watch?v=T-AtG9BvwHg,Other
f4V2LnkGkLg,Pia and Lisa go shopping | Easy German 85,https://www.youtube.com/watch?v=f4V2LnkGkLg,Other
uqhNQ7fiQSQ,NA JA - Explained | Super Easy German (125),https://www.youtube.com/watch?v=uqhNQ7fiQSQ,Other
TDRNIkVE4bw,Berlin in December in Slow German | Super Easy German 268,https://www.youtube.com/watch?v=TDRNIkVE4bw,Other
XiBt9Nm0PHU,Clothing Vocabulary in Slow German | Super Easy German 270,https://www.youtube.com/watch?v=XiBt9Nm0PHU,Other
jN4Ike7iBVk,At the Mall in Slow German | Super Easy German 276,https://www.youtube.com/watch?v=jN4Ike7iBVk,Other
StmjIvwtKlg,At The Train Station in Slow German | Super Easy German 279,https://www.youtube.com/watch?v=StmjIvwtKlg,Other
YWn2kAjbhrA,German Dative Case: 15 Simple Verbs That Always Take the Dative | Super Easy German 215,https://www.youtube.com/watch?v=YWn2kAjbhrA,Grammar → Cases
LwJfk1NUeg4,10 Min Conversation in Slow German | Super Easy German 287,https://www.youtube.com/watch?v=LwJfk1NUeg4,Other
jWDuDRHZvk8,German Verbs: Haben | Super Easy German (131),https://www.youtube.com/watch?v=jWDuDRHZvk8,Verbs → Common verbs
