id,title,url
kQPvtHeUUfU,Typical German Dinner in Slow German | Super Easy German 254,https://www.youtube.com/watch?v=kQPvtHeUUfU
bonBD3n2cy8,What Germans Buy at the Supermarket | Easy German 362,https://www.youtube.com/watch?v=bonBD3n2cy8
yCV4h5kDwbM,Grocery shopping in German | Super Easy German (33),https://www.youtube.com/watch?v=yCV4h5kDwbM
kcixi0Vfg-I,Our Daily Chores in Slow German | Super Easy German 249,https://www.youtube.com/watch?v=kcixi0Vfg-I
N9iYnpvkOcA,Learning Fruits in German | Super Easy German (45),https://www.youtube.com/watch?v=N9iYnpvkOcA
hunvSsyEeBU,Imperatives: How to Phrase Orders and Requests in German | Super Easy German 180,https://www.youtube.com/watch?v=hunvSsyEeBU
r8HiWsBe5ko,100 Words You Should Know When Coming to Germany | Super Easy German 203,https://www.youtube.com/watch?v=r8HiWsBe5ko
KoupCFKNXUo,Small Talk (in Slow German) | Easy German Live,https://www.youtube.com/watch?v=KoupCFKNXUo
eKLtI48rvtw,Top 50 Everyday Objects in Slow German | Super Easy German 244,https://www.youtube.com/watch?v=eKLtI48rvtw
3MiTl52EKd8,Easy German Basic Phrases - Introducing Yourself,https://www.youtube.com/watch?v=3MiTl52EKd8
qSGUD9WYRwE,Walk Through Our Neighborhood in Slow German | Super Easy German 228,https://www.youtube.com/watch?v=qSGUD9WYRwE
qnLj-KV9WaQ,How to describe your body in German | Super Easy German (117),https://www.youtube.com/watch?v=qnLj-KV9WaQ
5LsSHezUUKQ,German Clothing Vocabulary | Super Easy German 170,https://www.youtube.com/watch?v=5LsSHezUUKQ
xbWOui-V-U4,All German Cases | Super Easy German (55),https://www.youtube.com/watch?v=xbWOui-V-U4
cYMSTF8iQWw,Easy German Cases - German Cases by Pia and Lisa,https://www.youtube.com/watch?v=cYMSTF8iQWw
aZTUJm8O2Ds,12 Verbs + Accusative Beginners Should Know | Super Easy German 259,https://www.youtube.com/watch?v=aZTUJm8O2Ds
Uab5EC28h1w,How to use Accusative and Dative in German | Super Easy German (122),https://www.youtube.com/watch?v=Uab5EC28h1w
IQvtG8deSe0,Easy German Cases - Nominativ (Super SLOMO with Pia and Lisa),https://www.youtube.com/watch?v=IQvtG8deSe0
1cREa7o2EPQ,German cases: Accusative | Easy German 127,https://www.youtube.com/watch?v=1cREa7o2EPQ
A3kDyxMO2xI,GERMAN ACCUSATIVE | Super Easy German (16),https://www.youtube.com/watch?v=A3kDyxMO2xI
ZgmVwPjTtM4,What do I see in the Streets (accusative exercise) | Super Easy German (41),https://www.youtube.com/watch?v=ZgmVwPjTtM4
MppF9phHkzI,German Cases Drill (Nominative + Accusative) | Super Easy German (121),https://www.youtube.com/watch?v=MppF9phHkzI
CDgG2K7Kbbs,Präpositionen mit Dativ | Super Easy German (40),https://www.youtube.com/watch?v=CDgG2K7Kbbs
GT6ZDpB_7rA,Mit + Dative | Super Easy German (72),https://www.youtube.com/watch?v=GT6ZDpB_7rA
tj_YhY2RMxs,"Irregular Verbs: Haben, Sein, Gehen | Super Easy German (90)",https://www.youtube.com/watch?v=tj_YhY2RMxs
VTN-Qys9fCA,100 Everyday Sentences with the Verb “Haben” | Easy German 589,https://www.youtube.com/watch?v=VTN-Qys9fCA
wqw336j-F3E,German Verbs: Sein | Super Easy German (149),https://www.youtube.com/watch?v=wqw336j-F3E
an232kkTEMk,102 Everyday Sentences With the Verb “Sein” | Easy German 591,https://www.youtube.com/watch?v=an232kkTEMk
J4Y5os6gHxI,German Verbs: Gehen | Super Easy German (147),https://www.youtube.com/watch?v=J4Y5os6gHxI
Bo3YyLmzS9E,German Verbs: Fahren | Super Easy German (146),https://www.youtube.com/watch?v=Bo3YyLmzS9E
WxK_boaYVik,German Verbs: Finden | Super Easy German (151),https://www.youtube.com/watch?v=WxK_boaYVik
D12qgTxjC3c,German Verbs: Geben | Super Easy German (148),https://www.youtube.com/watch?v=D12qgTxjC3c
AOQ5X-ayjWE,German Verbs: Wissen | Super Easy German (153),https://www.youtube.com/watch?v=AOQ5X-ayjWE
lZXGpjKHHo8,Irregular Verbs: Mögen | Super Easy German (103),https://www.youtube.com/watch?v=lZXGpjKHHo8
o7cMNtORT4I,German Verbs: Machen | Super Easy German (142),https://www.youtube.com/watch?v=o7cMNtORT4I
OqvuldWHr_s,"""Wollen"" vs. ""Mögen"" vs. ""Möchten"" | Super Easy German 192",https://www.youtube.com/watch?v=OqvuldWHr_s
6lTltCmgrCk,German Verbs: Können | Super Easy German (138),https://www.youtube.com/watch?v=6lTltCmgrCk
dV54jc8K6MU,16 Verbs + Prepositions You Should Know (A1 Level) | Super Easy German 229,https://www.youtube.com/watch?v=dV54jc8K6MU
K1eejivNkRQ,Separable verbs in German | Super Easy German (31),https://www.youtube.com/watch?v=K1eejivNkRQ
fB12-T5jC30,These Verbs Always Use The Simple Past | Super Easy German 191,https://www.youtube.com/watch?v=fB12-T5jC30
0q8ceeaEI68,Perfect Tense in German | Super Easy German (26),https://www.youtube.com/watch?v=0q8ceeaEI68
4gl3-i0KXqY,10 German Verbs that Change Vowels (Strong Verbs for Beginners) | Super Easy German 220,https://www.youtube.com/watch?v=4gl3-i0KXqY
kYEBu6dG2MM,A Day in our Office in slow German | Super Easy German 235,https://www.youtube.com/watch?v=kYEBu6dG2MM
SzfIlzLFmn0,Wie vs. Als | Super Easy German (88),https://www.youtube.com/watch?v=SzfIlzLFmn0
7GH7AFxA3gY,MIT vs. OHNE | Super Easy German 201,https://www.youtube.com/watch?v=7GH7AFxA3gY
fa9K07uIrOo,German Prepositions: BEI | Super Easy German (39),https://www.youtube.com/watch?v=fa9K07uIrOo
vC_7XBaqsc4,Kein vs. Nicht | Easy German 341,https://www.youtube.com/watch?v=vC_7XBaqsc4
ZqCevnsyMAQ,Our Vacation in Slow German | Super Easy German 234,https://www.youtube.com/watch?v=ZqCevnsyMAQ
hxGSArgzNN8,Sports | Super Easy German (3),https://www.youtube.com/watch?v=hxGSArgzNN8
T-AtG9BvwHg,"""Ach"" Explained | Super Easy German (126)",https://www.youtube.com/watch?v=T-AtG9BvwHg
f4V2LnkGkLg,Pia and Lisa go shopping | Easy German 85,https://www.youtube.com/watch?v=f4V2LnkGkLg
uqhNQ7fiQSQ,NA JA - Explained | Super Easy German (125),https://www.youtube.com/watch?v=uqhNQ7fiQSQ
TDRNIkVE4bw,Berlin in December in Slow German | Super Easy German 268,https://www.youtube.com/watch?v=TDRNIkVE4bw
XiBt9Nm0PHU,Clothing Vocabulary in Slow German | Super Easy German 270,https://www.youtube.com/watch?v=XiBt9Nm0PHU
jN4Ike7iBVk,At the Mall in Slow German | Super Easy German 276,https://www.youtube.com/watch?v=jN4Ike7iBVk
StmjIvwtKlg,At The Train Station in Slow German | Super Easy German 279,https://www.youtube.com/watch?v=StmjIvwtKlg
YWn2kAjbhrA,German Dative Case: 15 Simple Verbs That Always Take the Dative | Super Easy German 215,https://www.youtube.com/watch?v=YWn2kAjbhrA
LwJfk1NUeg4,10 Min Conversation in Slow German | Super Easy German 287,https://www.youtube.com/watch?v=LwJfk1NUeg4
jWDuDRHZvk8,German Verbs: Haben | Super Easy German (131),https://www.youtube.com/watch?v=jWDuDRHZvk8
